,target,id_cliente,orden_nro,ciudad,monto,segmento,microsegmento,fecha_orden,fecha_de_vencimiento,fecha_de_pago,order_closed_cohort,ord_due_cohort,payment_cohort,dif_pymt_date,dow_closed,cantidad_sesiones,tiempo_promedio_navegacion,days_ultima_navegacion
4783,0,21724145,26719338602616,BOG,136442.99,restaurante,cafetería,2022-09-08,2022-09-15,2022-09-15,2022-09-01,2022-09-01,2022-09-01,0.0,3,1,2.0,29.0
4784,0,21724145,35570170789472,BOG,151849.16,restaurante,cafetería,2022-09-16,2022-09-23,2022-09-22,2022-09-01,2022-09-01,2022-09-01,-1.0,4,1,2.0,37.0
4785,0,21724145,60355064464430,BOG,271445.53,restaurante,cafetería,2022-09-23,2022-09-30,2022-09-30,2022-09-01,2022-09-01,2022-09-01,0.0,4,2,24.0,1.0
4786,0,21724145,7247581453661,BOG,101548.2,restaurante,cafetería,2022-09-30,2022-10-07,2022-10-10,2022-09-01,2022-10-01,2022-10-01,3.0,4,2,24.0,8.0
4787,0,21724577,6091054365479,BOG,299442.21,restaurante,parrilla/asadero,2022-09-10,2022-09-17,1899-12-30,2022-09-01,2022-09-01,1899-12-01,-44821.0,5,0,0.0,60.0
4788,1,21726364,70854324640673,BOG,348336.0,restaurante,corrientazo,2022-08-13,2022-08-20,2022-09-20,2022-08-01,2022-08-01,2022-09-01,31.0,5,37,185.67567567567568,0.0
4789,0,21789424,117357039564533,BOG,278029.74,comercio,na,2023-08-19,2023-08-26,2023-09-01,2023-08-01,2023-08-01,2023-09-01,6.0,5,25,434.4,0.0
4790,0,21789424,2544398436733,BOG,298992.03,comercio,na,2023-09-08,2023-09-15,2023-09-18,2023-09-01,2023-09-01,2023-09-01,3.0,4,35,489.4,1.0
4791,0,21790696,189010247556060,BAQ,206566.5,comercio,na,2023-06-21,2023-06-28,2023-06-29,2023-06-01,2023-06-01,2023-06-01,1.0,2,11,257.1818181818182,4.0
4792,0,21790696,251023110201184,BAQ,246670.0,comercio,na,2023-06-30,2023-07-07,2023-07-09,2023-06-01,2023-07-01,2023-07-01,2.0,4,12,250.58333333333331,0.0
4793,0,21790696,243813305830705,BAQ,287500.0,comercio,na,2023-07-13,2023-07-20,2023-07-25,2023-07-01,2023-07-01,2023-07-01,5.0,3,15,293.6666666666667,2.0
4794,0,21790696,3728906760984,BAQ,222599.46,comercio,na,2023-07-28,2023-08-04,2023-08-17,2023-07-01,2023-08-01,2023-08-01,13.0,4,20,339.15,0.0
4795,1,21790696,69295770729840,BAQ,240500.0,comercio,na,2023-08-24,2023-08-31,2023-09-18,2023-08-01,2023-08-01,2023-09-01,18.0,3,34,193.41176470588235,0.0
4796,0,21793622,53350826228928,BOG,142820.64,restaurante,corrientazo,2022-09-02,2022-09-09,1899-12-30,2022-09-01,2022-09-01,1899-12-01,-44813.0,4,15,292.93333333333334,1.0
4797,0,21794233,19199769067219,BOG,113698.0,restaurante,panadería/pastelería,2022-08-10,2022-08-17,2022-08-15,2022-08-01,2022-08-01,2022-08-01,-2.0,2,20,254.25,2.0
4798,0,21794233,20156572948116,BOG,184399.73,restaurante,panadería/pastelería,2022-08-18,2022-08-25,2022-08-23,2022-08-01,2022-08-01,2022-08-01,-2.0,3,26,420.61538461538464,1.0
4799,0,21794233,82009160415575,BOG,275750.38,restaurante,panadería/pastelería,2022-08-25,2022-09-01,2022-09-01,2022-08-01,2022-09-01,2022-09-01,0.0,3,42,306.95238095238096,0.0
4800,0,21794233,174743630331548,BOG,430046.3,restaurante,panadería/pastelería,2022-09-05,2022-09-12,2022-09-12,2022-09-01,2022-09-01,2022-09-01,0.0,0,55,303.1818181818182,0.0
4801,0,21794233,30602247170819,BOG,361867.88,restaurante,panadería/pastelería,2022-09-17,2022-09-24,2022-09-24,2022-09-01,2022-09-01,2022-09-01,0.0,5,62,280.241935483871,1.0
4802,1,21795235,133643202991815,BOG,175445.05,restaurante,comida rápida,2022-08-27,2022-09-03,2023-02-20,2022-08-01,2022-09-01,2023-02-01,170.0,5,36,236.72222222222223,1.0
4803,1,21797047,50613801260542,BOG,253891.35000000003,restaurante,corrientazo,2022-08-03,2022-08-10,2022-11-03,2022-08-01,2022-08-01,2022-11-01,85.0,2,0,0.0,60.0
4804,0,21797047,27117640084316,BOG,75233.08,restaurante,corrientazo,2023-02-06,2023-02-13,2023-02-15,2023-02-01,2023-02-01,2023-02-01,2.0,0,54,542.6111111111111,3.0
4805,0,21797047,214696843004002,BOG,99206.96,restaurante,corrientazo,2023-03-30,2023-04-06,2023-04-19,2023-03-01,2023-04-01,2023-04-01,13.0,3,37,415.7837837837838,1.0
4806,1,21797047,79072864565147,BOG,172908.56,restaurante,corrientazo,2023-06-16,2023-06-23,2023-07-10,2023-06-01,2023-06-01,2023-07-01,17.0,4,28,542.5357142857143,2.0
4807,1,21797047,71417186122751,BOG,224234.6,restaurante,corrientazo,2023-07-12,2023-07-19,2023-08-14,2023-07-01,2023-07-01,2023-08-01,26.0,2,30,572.6333333333333,1.0
4808,0,21808753,8907256922930,BOG,291775.75,restaurante,empanadas/arepas,2022-09-03,2022-09-10,2022-09-20,2022-09-01,2022-09-01,2022-09-01,10.0,5,114,195.42105263157896,0.0
4809,1,21808753,37299141779900,BOG,283476.06,restaurante,empanadas/arepas,2022-09-28,2022-10-05,2025-12-31,2022-09-01,2022-10-01,2025-12-01,1183.0,2,149,189.64429530201343,0.0
4810,0,21811576,48415541114620,BOG,389272.44,restaurante,corrientazo,2022-05-18,2022-05-25,2022-05-23,2022-05-01,2022-05-01,2022-05-01,-2.0,2,22,277.8181818181818,0.0
4811,0,21811576,43539190231843,BOG,494411.8000000001,restaurante,corrientazo,2022-05-25,2022-06-01,2022-06-01,2022-05-01,2022-06-01,2022-06-01,0.0,2,23,243.2173913043478,0.0
4812,1,21811576,32877878996833,BOG,495659.25000000006,restaurante,corrientazo,2022-06-02,2022-06-09,2025-12-31,2022-06-01,2022-06-01,2025-12-01,1301.0,3,26,283.5,0.0
4813,0,21822422,65341293461187,BOG,294362.28,restaurante,comida rápida,2023-07-15,2023-07-22,2023-07-26,2023-07-01,2023-07-01,2023-07-01,4.0,5,25,324.44,4.0
4814,1,21822422,121657285905476,BOG,167373.34,restaurante,comida rápida,2023-08-04,2023-08-11,2023-09-07,2023-08-01,2023-08-01,2023-09-01,27.0,4,21,347.95238095238096,8.0
4815,1,21875661,76956121743775,BOG,208015.2,restaurante,corrientazo,2022-06-14,2022-06-21,2022-08-08,2022-06-01,2022-06-01,2022-08-01,48.0,1,30,1752.2666666666669,8.0
4816,1,21875661,58537847164100,BOG,225144.86,restaurante,corrientazo,2022-06-20,2022-06-27,2022-08-08,2022-06-01,2022-06-01,2022-08-01,42.0,0,24,2114.25,14.0
4817,0,21875661,42829001701430,BOG,168420.76,restaurante,corrientazo,2022-09-28,2022-10-05,2022-10-08,2022-09-01,2022-10-01,2022-10-01,3.0,2,0,0.0,60.0
4818,0,21875661,11630809908019,BOG,306726.94,restaurante,corrientazo,2022-10-05,2022-10-12,2022-10-25,2022-10-01,2022-10-01,2022-10-01,13.0,2,0,0.0,60.0
4819,1,21875661,106658293915308,BOG,214428.51,restaurante,corrientazo,2022-10-31,2022-11-07,2022-12-15,2022-10-01,2022-11-01,2022-12-01,38.0,0,0,0.0,60.0
4820,0,21888697,29128859431527,BOG,247457.6,restaurante,corrientazo,2022-08-08,2022-08-15,2022-08-15,2022-08-01,2022-08-01,2022-08-01,0.0,0,233,356.48497854077254,0.0
4821,0,21937657,189510922320787,BOG,223039.33,restaurante,corrientazo,2022-09-19,2022-09-26,2022-09-25,2022-09-01,2022-09-01,2022-09-01,-1.0,0,6,135.5,1.0
4822,0,21937657,54293523003322,BOG,178795.74,restaurante,corrientazo,2022-10-01,2022-10-08,2022-10-08,2022-10-01,2022-10-01,2022-10-01,0.0,5,13,335.46153846153845,0.0
4823,0,21937657,45312794001981,BOG,81777.3,restaurante,corrientazo,2022-10-08,2022-10-15,2022-10-15,2022-10-01,2022-10-01,2022-10-01,0.0,5,17,318.8235294117647,2.0
4824,0,21937657,475106649677662,BOG,57385.98,restaurante,corrientazo,2022-10-12,2022-10-19,2022-10-19,2022-10-01,2022-10-01,2022-10-01,0.0,2,19,304.0,2.0
4825,0,21937657,41046313301530,BOG,145055.88,restaurante,corrientazo,2022-10-18,2022-10-25,2022-10-25,2022-10-01,2022-10-01,2022-10-01,0.0,1,21,383.9047619047619,1.0
4826,1,21941243,50770631287262,BOG,369681.71,restaurante,na,2022-07-06,2022-07-13,2022-08-30,2022-07-01,2022-07-01,2022-08-01,48.0,2,93,350.4516129032258,0.0
4827,0,21941243,51360493189591,BOG,108939.74,restaurante,na,2022-07-06,2022-07-13,2022-07-23,2022-07-01,2022-07-01,2022-07-01,10.0,2,93,350.4516129032258,0.0
4828,1,21941243,1400579083329,BOG,183215.55,restaurante,na,2022-09-03,2022-09-10,2022-12-22,2022-09-01,2022-09-01,2022-12-01,103.0,5,125,414.928,0.0
4829,1,21941243,91286143334004,BOG,108722.8,restaurante,na,2022-09-05,2022-09-12,2022-10-14,2022-09-01,2022-09-01,2022-10-01,32.0,0,122,416.2704918032787,0.0
4830,1,21941243,26411535417958,BOG,206690.4,restaurante,na,2022-09-08,2022-09-15,2022-12-22,2022-09-01,2022-09-01,2022-12-01,98.0,3,126,400.62698412698415,0.0
4831,0,21948770,18561418073898,BOG,192297.0,restaurante,comida rápida,2022-07-19,2022-07-26,2022-07-26,2022-07-01,2022-07-01,2022-07-01,0.0,1,42,287.5238095238095,1.0
4832,0,21948770,4812888663789,BOG,206600.0,restaurante,comida rápida,2022-07-22,2022-07-29,2022-08-03,2022-07-01,2022-07-01,2022-08-01,5.0,4,41,290.8048780487805,1.0
4833,0,21948770,5835455234178,BOG,50114.8,restaurante,comida rápida,2022-08-10,2022-08-17,2022-08-16,2022-08-01,2022-08-01,2022-08-01,-1.0,2,56,238.4642857142857,0.0
4834,0,21948770,36477853443549,BOG,287940.0,restaurante,comida rápida,2022-08-12,2022-08-19,2022-08-22,2022-08-01,2022-08-01,2022-08-01,3.0,4,59,228.3728813559322,0.0
4835,0,21948770,20431484813408,BOG,58887.0,restaurante,comida rápida,2022-08-17,2022-08-24,2022-08-29,2022-08-01,2022-08-01,2022-08-01,5.0,2,58,230.3448275862069,0.0
4836,0,21999408,102053534294769,BOG,146000.38,restaurante,comida especializada,2022-03-03,2022-03-10,2022-03-10,2022-03-01,2022-03-01,2022-03-01,0.0,3,7,123.71428571428572,0.0
4837,0,21999408,12842805032987,BOG,72705.6,restaurante,comida especializada,2022-03-10,2022-03-17,2022-03-16,2022-03-01,2022-03-01,2022-03-01,-1.0,3,15,246.33333333333331,0.0
4838,0,21999408,97853799248252,BOG,198522.58,restaurante,comida especializada,2022-03-18,2022-03-25,2022-03-25,2022-03-01,2022-03-01,2022-03-01,0.0,4,23,226.1304347826087,0.0
4839,0,21999408,19333802963679,BOG,136219.38,restaurante,comida especializada,2022-03-22,2022-03-29,2022-03-30,2022-03-01,2022-03-01,2022-03-01,1.0,1,26,234.42307692307693,1.0
4840,0,21999408,63832072308824,BOG,208724.23,restaurante,comida especializada,2022-03-30,2022-04-06,2022-04-06,2022-03-01,2022-04-01,2022-04-01,0.0,2,35,244.88571428571427,2.0
4841,0,22004159,55477992226188,BOG,260653.01000000004,restaurante,panadería/pastelería,2022-09-17,2022-09-24,1899-12-30,2022-09-01,2022-09-01,1899-12-01,-44828.0,5,18,596.8888888888889,1.0
4842,1,22008609,19085715643817,BOG,178159.76,restaurante,parrilla/asadero,2022-08-09,2022-08-16,2022-09-13,2022-08-01,2022-08-01,2022-09-01,28.0,1,0,0.0,60.0
4843,0,22009121,131762032571420,BOG,284499.75,restaurante,cafetería,2022-09-15,2022-09-22,2022-09-23,2022-09-01,2022-09-01,2022-09-01,1.0,3,53,968.754716981132,0.0
4844,0,22009121,31632036406416,BOG,285080.74,restaurante,cafetería,2022-09-26,2022-10-03,2022-10-03,2022-09-01,2022-10-01,2022-10-01,0.0,0,61,923.5409836065572,1.0
4845,0,22009121,30305068692189,BOG,298018.66,restaurante,cafetería,2022-10-05,2022-10-12,2022-10-12,2022-10-01,2022-10-01,2022-10-01,0.0,2,61,900.7049180327868,0.0
4846,0,22009121,421126139411664,BOG,187991.22,restaurante,cafetería,2022-10-10,2022-10-17,2022-10-18,2022-10-01,2022-10-01,2022-10-01,1.0,0,61,941.4590163934428,0.0
4847,0,22009121,51792653411476,BOG,384102.85,restaurante,cafetería,2022-10-20,2022-10-27,2022-10-26,2022-10-01,2022-10-01,2022-10-01,-1.0,3,56,1005.625,1.0
4848,1,22020285,231711738529037,BOG,470678.66,restaurante,cafetería,2022-06-28,2022-07-05,2022-10-14,2022-06-01,2022-07-01,2022-10-01,101.0,1,61,200.91803278688525,0.0
4849,1,22020285,99684395388030,BOG,252159.67,restaurante,cafetería,2023-04-05,2023-04-12,2023-05-08,2023-04-01,2023-04-01,2023-05-01,26.0,2,41,264.0,1.0
4850,0,22020285,185391671391842,BOG,480410.71,restaurante,cafetería,2023-06-05,2023-06-12,2023-06-27,2023-06-01,2023-06-01,2023-06-01,15.0,0,45,641.5555555555555,0.0
4851,0,22020285,240837558747387,BOG,416038.16,restaurante,cafetería,2023-06-30,2023-07-07,2023-07-13,2023-06-01,2023-07-01,2023-07-01,6.0,4,64,243.703125,1.0
4852,0,22024160,146615559241970,BOG,124015.24,restaurante,corrientazo,2022-09-05,2022-09-12,2022-09-11,2022-09-01,2022-09-01,2022-09-01,-1.0,0,20,277.65,1.0
4853,0,22024160,36077001072155,BOG,127312.49000000002,restaurante,corrientazo,2022-09-16,2022-09-23,2022-09-23,2022-09-01,2022-09-01,2022-09-01,0.0,4,17,259.05882352941177,1.0
4854,0,22024160,37030373148452,BOG,251083.43,restaurante,corrientazo,2022-09-28,2022-10-05,2022-10-05,2022-09-01,2022-10-01,2022-10-01,0.0,2,12,260.4166666666667,1.0
4855,0,22024160,6603584053880,BOG,198969.4,restaurante,corrientazo,2022-10-04,2022-10-11,2022-10-11,2022-10-01,2022-10-01,2022-10-01,0.0,1,13,332.0,1.0
4856,0,22024160,157347919911284,BOG,298390.93,restaurante,corrientazo,2022-10-13,2022-10-20,2022-10-19,2022-10-01,2022-10-01,2022-10-01,-1.0,3,14,475.6428571428572,1.0
4857,0,22093817,35628342057014,BOG,209570.43,restaurante,na,2022-10-15,2022-10-22,2022-10-21,2022-10-01,2022-10-01,2022-10-01,-1.0,5,17,223.94117647058823,1.0
4858,0,22093817,34531527151277,BOG,205895.32,restaurante,na,2022-12-17,2022-12-24,2022-12-24,2022-12-01,2022-12-01,2022-12-01,0.0,5,24,254.16666666666663,2.0
4859,0,22093817,29937652209923,BOG,208853.9,restaurante,na,2023-01-14,2023-01-21,2023-01-21,2023-01-01,2023-01-01,2023-01-01,0.0,5,27,214.2962962962963,0.0
4860,0,22093817,120367065167341,BOG,206808.15,restaurante,na,2023-01-30,2023-02-06,2023-02-06,2023-01-01,2023-02-01,2023-02-01,0.0,0,47,204.10638297872345,0.0
4861,0,22093817,35688653820628,BOG,200939.91,restaurante,na,2023-03-24,2023-03-31,2023-03-31,2023-03-01,2023-03-01,2023-03-01,0.0,4,62,127.03225806451611,1.0
4862,0,22095224,50784972550209,BOG,189115.71,restaurante,panadería/pastelería,2022-06-10,2022-06-17,2022-06-18,2022-06-01,2022-06-01,2022-06-01,1.0,4,45,499.8444444444444,1.0
4863,0,22095224,1485141655474,BOG,140218.85,restaurante,panadería/pastelería,2022-06-11,2022-06-18,2022-06-26,2022-06-01,2022-06-01,2022-06-01,8.0,5,43,495.2325581395349,2.0
4864,0,22095224,7291239050646,BOG,303302.51,restaurante,panadería/pastelería,2022-07-02,2022-07-09,2022-07-19,2022-07-01,2022-07-01,2022-07-01,10.0,5,42,666.7857142857143,1.0
4865,0,22095224,49340350910134,BOG,177626.54,restaurante,panadería/pastelería,2022-07-04,2022-07-11,2022-07-19,2022-07-01,2022-07-01,2022-07-01,8.0,0,44,674.4545454545455,0.0
4866,0,22095224,85132056996785,BOG,105269.52,restaurante,panadería/pastelería,2022-07-06,2022-07-13,2022-07-20,2022-07-01,2022-07-01,2022-07-01,7.0,2,45,688.4888888888889,0.0
4867,0,22095230,29944238516628,BOG,148598.36,restaurante,corrientazo,2022-06-24,2022-07-01,2022-07-01,2022-06-01,2022-07-01,2022-07-01,0.0,4,46,570.1304347826087,0.0
4868,0,22095230,70628778036947,BOG,263243.32,restaurante,corrientazo,2022-06-25,2022-07-02,2022-07-02,2022-06-01,2022-07-01,2022-07-01,0.0,5,45,582.7555555555556,1.0
4869,0,22095230,29352185127758,BOG,475523.04,restaurante,corrientazo,2022-07-07,2022-07-14,2022-07-16,2022-07-01,2022-07-01,2022-07-01,2.0,3,47,585.3617021276596,0.0
4870,1,22095230,102740090609969,BOG,128870.29,restaurante,corrientazo,2022-07-27,2022-08-03,2022-08-20,2022-07-01,2022-08-01,2022-08-01,17.0,2,47,499.5744680851064,1.0
4871,0,22095230,82410279540046,BOG,230865.29,restaurante,corrientazo,2022-07-30,2022-08-06,2022-08-20,2022-07-01,2022-08-01,2022-08-01,14.0,5,46,494.19565217391306,2.0
4872,0,22096358,107061183916233,BOG,499401.62,restaurante,panadería/pastelería,2022-04-26,2022-05-03,2022-05-03,2022-04-01,2022-05-01,2022-05-01,0.0,1,17,162.23529411764707,1.0
4873,0,22096358,165450004282795,BOG,338737.31,restaurante,panadería/pastelería,2022-05-06,2022-05-13,2022-05-13,2022-05-01,2022-05-01,2022-05-01,0.0,4,15,164.86666666666667,3.0
4874,0,22096358,190875538449792,BOG,296020.1,restaurante,panadería/pastelería,2022-05-17,2022-05-24,2022-05-24,2022-05-01,2022-05-01,2022-05-01,0.0,1,16,188.25,0.0
4875,1,22096358,53033559179443,BOG,497809.94,restaurante,panadería/pastelería,2022-06-30,2022-07-07,2025-12-31,2022-06-01,2022-07-01,2025-12-01,1273.0,3,25,386.28,0.0
4876,0,22097701,16243284779909,BOG,75421.74,hogar,comida especializada,2022-07-15,2022-07-22,2022-07-21,2022-07-01,2022-07-01,2022-07-01,-1.0,4,40,326.075,0.0
4877,0,22097701,12008631190798,BOG,103369.79,hogar,comida especializada,2022-07-22,2022-07-29,2022-07-29,2022-07-01,2022-07-01,2022-07-01,0.0,4,51,309.03921568627453,0.0
4878,0,22097701,1284135557306,BOG,82811.51,hogar,comida especializada,2022-08-13,2022-08-20,2022-08-20,2022-08-01,2022-08-01,2022-08-01,0.0,5,59,364.59322033898303,0.0
4879,0,22097701,70291171605286,BOG,98305.05,hogar,comida especializada,2022-08-19,2022-08-26,2022-08-25,2022-08-01,2022-08-01,2022-08-01,-1.0,4,60,378.76666666666665,1.0
4880,0,22097701,6387212099915,BOG,51356.07,hogar,comida especializada,2022-09-10,2022-09-17,2022-09-18,2022-09-01,2022-09-01,2022-09-01,1.0,5,57,332.5438596491228,0.0
4881,0,22187521,136695036802172,BOG,293881.3,restaurante,corrientazo,2022-10-26,2022-11-02,2022-10-31,2022-10-01,2022-11-01,2022-10-01,-2.0,2,16,415.9375,1.0
4882,1,22187521,28666544564214,BOG,251539.21,restaurante,corrientazo,2022-11-03,2022-11-10,2022-12-06,2022-11-01,2022-11-01,2022-12-01,26.0,3,35,256.77142857142854,1.0
4883,0,22188561,13426810659254,BOG,159735.11,restaurante,corrientazo,2022-09-03,2022-09-10,2022-09-20,2022-09-01,2022-09-01,2022-09-01,10.0,5,33,536.6969696969697,1.0
4884,0,22188561,62720276670047,BOG,115139.67,restaurante,corrientazo,2022-09-10,2022-09-17,2022-09-20,2022-09-01,2022-09-01,2022-09-01,3.0,5,35,485.0,1.0
4885,0,22188561,367198455338361,BOG,312726.83,restaurante,corrientazo,2022-11-02,2022-11-09,2022-11-18,2022-11-01,2022-11-01,2022-11-01,9.0,2,44,584.8181818181819,0.0
4886,1,22188561,124373416338436,BOG,342974.06,restaurante,corrientazo,2022-11-28,2022-12-05,2022-12-27,2022-11-01,2022-12-01,2022-12-01,22.0,0,58,569.1896551724138,1.0
4887,0,22188561,80982384249646,BOG,342097.2,restaurante,corrientazo,2023-02-08,2023-02-15,2023-03-02,2023-02-01,2023-02-01,2023-03-01,15.0,2,46,632.4347826086956,1.0
4888,0,22195725,235405378594643,BOG,173688.81,hogar,panadería/pastelería,2022-09-12,2022-09-19,2022-09-19,2022-09-01,2022-09-01,2022-09-01,0.0,0,0,0.0,60.0
4889,0,22195725,13140969612697,BOG,266898.7,hogar,panadería/pastelería,2022-09-22,2022-09-29,2022-09-29,2022-09-01,2022-09-01,2022-09-01,0.0,3,0,0.0,60.0
4890,0,22195725,107021846609145,BOG,192239.04,hogar,panadería/pastelería,2022-10-03,2022-10-10,2022-10-10,2022-10-01,2022-10-01,2022-10-01,0.0,0,0,0.0,60.0
4891,0,22195725,102053180406522,BOG,272239.59,hogar,panadería/pastelería,2022-10-13,2022-10-20,2022-10-20,2022-10-01,2022-10-01,2022-10-01,0.0,3,0,0.0,60.0
4892,0,22198109,156763107100747,BOG,299375.92,restaurante,parrilla/asadero,2022-09-15,2022-09-22,2022-09-22,2022-09-01,2022-09-01,2022-09-01,0.0,3,22,165.0,0.0
4893,0,22198109,139807853312183,BOG,299728.73,restaurante,parrilla/asadero,2022-09-24,2022-10-01,2022-09-30,2022-09-01,2022-10-01,2022-09-01,-1.0,5,25,173.96,0.0
4894,0,22198109,41692760799172,BOG,298163.16,restaurante,parrilla/asadero,2022-10-05,2022-10-12,2022-10-12,2022-10-01,2022-10-01,2022-10-01,0.0,2,32,200.5625,0.0
4895,0,22198109,211863529565982,BOG,497156.41,restaurante,parrilla/asadero,2022-10-14,2022-10-21,2022-10-20,2022-10-01,2022-10-01,2022-10-01,-1.0,4,35,206.82857142857145,1.0
4896,0,22198109,47686678682245,BOG,496442.1400000001,restaurante,parrilla/asadero,2022-10-28,2022-11-04,2022-11-04,2022-10-01,2022-11-01,2022-11-01,0.0,4,42,219.6904761904762,1.0
4897,0,22209655,30235071235979,BOG,85728.0,hogar,comida especializada,2022-08-26,2022-09-02,2022-08-30,2022-08-01,2022-09-01,2022-08-01,-3.0,4,16,171.625,0.0
4898,0,22213340,37111503305150,BOG,215581.1,restaurante,comida rápida,2022-10-05,2022-10-12,2022-10-13,2022-10-01,2022-10-01,2022-10-01,1.0,2,18,355.8333333333333,0.0
4899,1,22213340,9370869326792,BOG,292971.1,restaurante,comida rápida,2022-10-20,2022-10-27,2022-12-15,2022-10-01,2022-10-01,2022-12-01,49.0,3,26,317.61538461538464,2.0
4900,0,22213340,22550178754855,BOG,120990.64,restaurante,comida rápida,2023-02-22,2023-03-01,2023-03-01,2023-02-01,2023-03-01,2023-03-01,0.0,2,8,747.75,2.0
4901,0,22213340,18767292208468,BOG,239516.59,restaurante,comida rápida,2023-03-03,2023-03-10,1899-12-30,2023-03-01,2023-03-01,1899-12-01,-44995.0,4,9,686.1111111111111,1.0
4902,0,22292373,46808601071141,BAQ,235070.02,comercio,na,2023-06-09,2023-06-16,1899-12-30,2023-06-01,2023-06-01,1899-12-01,-45093.0,4,45,380.8444444444444,1.0
4903,0,22295364,142054854983161,BOG,279933.0,restaurante,na,2023-03-22,2023-03-29,2023-03-29,2023-03-01,2023-03-01,2023-03-01,0.0,2,0,0.0,60.0
4904,0,22295364,75295695428347,BOG,249103.02,restaurante,na,2023-04-05,2023-04-12,2023-04-12,2023-04-01,2023-04-01,2023-04-01,0.0,2,10,290.9,0.0
4905,0,22295364,142958629199954,BOG,270280.08,restaurante,na,2023-04-18,2023-04-25,2023-04-27,2023-04-01,2023-04-01,2023-04-01,2.0,1,91,176.58241758241758,0.0
4906,0,22295364,6139778078114,BOG,292381.0,restaurante,na,2023-04-28,2023-05-05,2023-05-10,2023-04-01,2023-05-01,2023-05-01,5.0,4,120,182.875,0.0
4907,1,22295364,121013461819182,BOG,294289.99,restaurante,na,2023-05-11,2023-05-18,2023-09-22,2023-05-01,2023-05-01,2023-09-01,127.0,3,140,205.30714285714285,0.0
4908,1,22297842,141711442419116,BOG,121844.88999999998,restaurante,panadería/pastelería,2022-07-25,2022-08-01,2022-11-28,2022-07-01,2022-08-01,2022-11-01,119.0,0,27,179.0,2.0
4909,0,22303283,8379982749219,BOG,202421.71,restaurante,panadería/pastelería,2022-09-08,2022-09-15,2022-09-23,2022-09-01,2022-09-01,2022-09-01,8.0,3,18,198.77777777777777,1.0
4910,0,22303283,26116609957151,BOG,271585.6,restaurante,panadería/pastelería,2022-10-06,2022-10-13,2022-10-15,2022-10-01,2022-10-01,2022-10-01,2.0,3,26,206.15384615384616,0.0
4911,1,22303283,14988999956337,BOG,279904.67,restaurante,panadería/pastelería,2022-12-13,2022-12-20,2025-12-31,2022-12-01,2022-12-01,2025-12-01,1107.0,1,28,217.14285714285717,0.0
4912,0,22313272,41365361300297,BOG,295484.42,restaurante,corrientazo,2023-06-17,2023-06-24,1899-12-30,2023-06-01,2023-06-01,1899-12-01,-45101.0,5,37,196.13513513513516,0.0
4913,0,22331189,68637389667555,BOG,275295.7,restaurante,corrientazo,2022-09-12,2022-09-19,2022-09-20,2022-09-01,2022-09-01,2022-09-01,1.0,0,0,0.0,60.0
4914,0,22331189,43456464736641,BOG,205670.81,restaurante,corrientazo,2022-09-22,2022-09-29,2022-09-30,2022-09-01,2022-09-01,2022-09-01,1.0,3,0,0.0,60.0
4915,0,22331189,109030948066330,BOG,217684.74,restaurante,corrientazo,2022-10-03,2022-10-10,2022-10-11,2022-10-01,2022-10-01,2022-10-01,1.0,0,0,0.0,60.0
4916,0,22331189,16289791470575,BOG,231802.5,restaurante,corrientazo,2022-11-28,2022-12-05,2022-12-08,2022-11-01,2022-12-01,2022-12-01,3.0,0,0,0.0,60.0
4917,0,22331189,40105969182138,BOG,451238.45,restaurante,corrientazo,2023-01-07,2023-01-14,2023-01-17,2023-01-01,2023-01-01,2023-01-01,3.0,5,0,0.0,60.0
4918,1,22378541,211479090861478,BOG,293336.97,restaurante,parrilla/asadero,2022-11-25,2022-12-02,2022-12-27,2022-11-01,2022-12-01,2022-12-01,25.0,4,17,103.41176470588236,1.0
4919,0,22383676,67879626420138,BOG,104339.93,restaurante,corrientazo,2022-08-10,2022-08-17,1899-12-30,2022-08-01,2022-08-01,1899-12-01,-44790.0,2,54,236.25925925925927,0.0
4920,0,22383676,155626544907111,BOG,78517.26,restaurante,corrientazo,2022-08-11,2022-08-18,1899-12-30,2022-08-01,2022-08-01,1899-12-01,-44791.0,3,54,236.25925925925927,1.0
4921,0,22394324,75686151008463,BOG,216020.0,restaurante,panadería/pastelería,2022-09-21,2022-09-28,2022-09-27,2022-09-01,2022-09-01,2022-09-01,-1.0,2,23,246.34782608695653,1.0
4922,0,22394324,49010726841489,BOG,265803.48,restaurante,panadería/pastelería,2022-09-29,2022-10-06,2022-10-06,2022-09-01,2022-10-01,2022-10-01,0.0,3,27,256.0,1.0
4923,0,22394324,151259417504839,BOG,276032.19,restaurante,panadería/pastelería,2022-10-13,2022-10-20,2022-10-20,2022-10-01,2022-10-01,2022-10-01,0.0,3,24,229.125,1.0
4924,0,22394324,97511149493952,BOG,221376.27,restaurante,panadería/pastelería,2022-10-20,2022-10-27,2022-10-28,2022-10-01,2022-10-01,2022-10-01,1.0,3,23,281.69565217391306,0.0
4925,0,22394324,322185567002800,BOG,236280.75,restaurante,panadería/pastelería,2022-10-28,2022-11-04,2022-11-04,2022-10-01,2022-11-01,2022-11-01,0.0,4,26,256.46153846153845,0.0
4926,0,22394852,10795772648478,BOG,298748.52,restaurante,cafetería,2022-09-22,2022-09-29,2022-09-29,2022-09-01,2022-09-01,2022-09-01,0.0,3,41,525.4634146341464,0.0
